T_K,p_Pa,Psat_source_Pa,HK_flux_source_kg_m2_s,volumetric_rate_source_kg_m3_s,Tsat_unclamped_K,Tsat_upstream_1Pa_K,Tsat_selectedFloor_K,Tsat_upstream_error_K,Tsat_selected_error_K
1700.0,100000.0,0.38247995548717734,-82.19673352561024,-8219673.352561023,3186.0,3186.0,3186.0,0.0,0.0
1700.0,10000.0,0.38247995548717734,-8.219390404051982,-821939.0404051981,2743.349621819675,2743.349621819675,2743.349621819675,0.0,0.0
1700.0,1000.0,0.38247995548717734,-0.8216560918961563,-82165.60918961563,2408.6949648482055,2408.6949648482055,2408.6949648482055,0.0,0.0
1700.0,100.0,0.38247995548717734,-0.0818826606805737,-8188.26606805737,2146.810667687072,2146.810667687072,2146.810667687072,0.0,0.0
1700.0,10.0,0.38247995548717734,-0.007905317559015437,-790.5317559015436,1936.2885495671837,1936.2885495671837,1936.2885495671837,0.0,0.0
1700.0,1.0,0.38247995548717734,-0.0005075832468596111,-50.75832468596111,1763.3678787139045,1763.3678787139045,1763.3678787139045,0.0,0.0
1700.0,0.6,0.38247995548717734,-0.00017879505520824118,-17.879505520824114,1729.1103113446177,1763.3678787139045,1763.3678787139045,34.25756736928679,34.25756736928679
1700.0,0.1,0.38247995548717734,0.0002321901843559713,23.21901843559713,1618.8005434319416,1763.3678787139045,1763.3678787139045,144.56733528196287,144.56733528196287
1700.0,0.01,0.38247995548717734,0.0003061675274775296,30.616752747752955,1496.1414095157436,1763.3678787139045,1763.3678787139045,267.2264691981609,267.2264691981609
1800.0,100000.0,1.689987218901371,-79.87982206474861,-7987982.20647486,3186.0,3186.0,3186.0,0.0,0.0
1800.0,10000.0,1.689987218901371,-7.986767223036759,-798676.7223036758,2743.349621819675,2743.349621819675,2743.349621819675,0.0,0.0
1800.0,1000.0,1.689987218901371,-0.7974617388655731,-79746.17388655731,2408.6949648482055,2408.6949648482055,2408.6949648482055,0.0,0.0
1800.0,100.0,1.689987218901371,-0.07853119044845464,-7853.119044845463,2146.810667687072,2146.810667687072,2146.810667687072,0.0,0.0
1800.0,10.0,1.689987218901371,-0.00663813560674278,-663.8135606742779,1936.2885495671837,1936.2885495671837,1936.2885495671837,0.0,0.0
1800.0,1.0,1.689987218901371,0.0005511698774284055,55.11698774284055,1763.3678787139045,1763.3678787139045,1763.3678787139045,0.0,0.0
1800.0,0.6,1.689987218901371,0.0008706945656137917,87.06945656137916,1729.1103113446177,1763.3678787139045,1763.3678787139045,34.25756736928679,34.25756736928679
1800.0,0.1,1.689987218901371,0.001270100425845524,127.01004258455238,1618.8005434319416,1763.3678787139045,1763.3678787139045,144.56733528196287,144.56733528196287
1800.0,0.01,1.689987218901371,0.001341993480687236,134.1993480687236,1496.1414095157436,1763.3678787139045,1763.3678787139045,267.2264691981609,267.2264691981609
2000.0,100000.0,21.12761518487633,-75.76592283372634,-7576592.283372633,3186.0,3186.0,3186.0,0.0,0.0
2000.0,10000.0,21.12761518487633,-7.562182459564689,-756218.2459564689,2743.349621819675,2743.349621819675,2743.349621819675,0.0,0.0
2000.0,1000.0,21.12761518487633,-0.7418084221485239,-74180.84221485238,2408.6949648482055,2408.6949648482055,2408.6949648482055,0.0,0.0
2000.0,100.0,21.12761518487633,-0.05977101840690738,-5977.101840690737,2146.810667687072,2146.810667687072,2146.810667687072,0.0,0.0
2000.0,10.0,21.12761518487633,0.008432721967254267,843.2721967254266,1936.2885495671837,1936.2885495671837,1936.2885495671837,0.0,0.0
2000.0,1.0,21.12761518487633,0.015253096004670431,1525.309600467043,1763.3678787139045,1763.3678787139045,1763.3678787139045,0.0,0.0
2000.0,0.6,21.12761518487633,0.015556223739666704,1555.6223739666702,1729.1103113446177,1763.3678787139045,1763.3678787139045,34.25756736928679,34.25756736928679
2000.0,0.1,21.12761518487633,0.015935133408412048,1593.5133408412046,1618.8005434319416,1763.3678787139045,1763.3678787139045,144.56733528196287,144.56733528196287
2000.0,0.01,21.12761518487633,0.01600333714878621,1600.3337148786206,1496.1414095157436,1763.3678787139045,1763.3678787139045,267.2264691981609,267.2264691981609
2500.0,100000.0,1992.467207685934,-66.43089952284335,-6643089.952284334,3186.0,3186.0,3186.0,0.0,0.0
2500.0,10000.0,1992.467207685934,-5.427619604294388,-542761.9604294387,2743.349621819675,2743.349621819675,2743.349621819675,0.0,0.0
2500.0,1000.0,1992.467207685934,0.6727083875605078,67270.83875605077,2408.6949648482055,2408.6949648482055,2408.6949648482055,0.0,0.0
2500.0,100.0,1992.467207685934,1.2827411867459972,128274.11867459971,2146.810667687072,2146.810667687072,2146.810667687072,0.0,0.0
2500.0,10.0,1992.467207685934,1.3437444666645464,134374.44666645463,1936.2885495671837,1936.2885495671837,1936.2885495671837,0.0,0.0
2500.0,1.0,1992.467207685934,1.3498447946564012,134984.4794656401,1763.3678787139045,1763.3678787139045,1763.3678787139045,0.0,0.0
2500.0,0.6,1992.467207685934,1.3501159203449282,135011.59203449282,1729.1103113446177,1763.3678787139045,1763.3678787139045,34.25756736928679,34.25756736928679
2500.0,0.1,1992.467207685934,1.3504548274555868,135045.48274555866,1618.8005434319416,1763.3678787139045,1763.3678787139045,144.56733528196287,144.56733528196287
2500.0,0.01,1992.467207685934,1.3505158307355052,135051.58307355052,1496.1414095157436,1763.3678787139045,1763.3678787139045,267.2264691981609,267.2264691981609
3000.0,100000.0,41281.13714451307,-36.33270143584379,-3633270.1435843785,3186.0,3186.0,3186.0,0.0,0.0
3000.0,10000.0,41281.13714451307,19.355419386141513,1935541.9386141512,2743.349621819675,2743.349621819675,2743.349621819675,0.0,0.0
3000.0,1000.0,41281.13714451307,24.924231468340043,2492423.146834004,2408.6949648482055,2408.6949648482055,2408.6949648482055,0.0,0.0
3000.0,100.0,41281.13714451307,25.481112676559896,2548111.267655989,2146.810667687072,2146.810667687072,2146.810667687072,0.0,0.0
3000.0,10.0,41281.13714451307,25.536800797381883,2553680.079738188,1936.2885495671837,1936.2885495671837,1936.2885495671837,0.0,0.0
3000.0,1.0,41281.13714451307,25.542369609464078,2554236.9609464076,1763.3678787139045,1763.3678787139045,1763.3678787139045,0.0,0.0
3000.0,0.6,41281.13714451307,25.54261711222329,2554261.7112223287,1729.1103113446177,1763.3678787139045,1763.3678787139045,34.25756736928679,34.25756736928679
3000.0,0.1,41281.13714451307,25.5429264906723,2554292.64906723,1618.8005434319416,1763.3678787139045,1763.3678787139045,144.56733528196287,144.56733528196287
3000.0,0.01,41281.13714451307,25.54298217879312,2554298.217879312,1496.1414095157436,1763.3678787139045,1763.3678787139045,267.2264691981609,267.2264691981609
3186.0,100000.0,100000.0,0.0,0.0,3186.0,3186.0,3186.0,0.0,0.0
3186.0,10000.0,100000.0,54.038129112762256,5403812.911276225,2743.349621819675,2743.349621819675,2743.349621819675,0.0,0.0
3186.0,1000.0,100000.0,59.441942024038475,5944194.202403847,2408.6949648482055,2408.6949648482055,2408.6949648482055,0.0,0.0
3186.0,100.0,100000.0,59.9823233151661,5998232.3315166095,2146.810667687072,2146.810667687072,2146.810667687072,0.0,0.0
3186.0,10.0,100000.0,60.03636144427886,6003636.144427885,1936.2885495671837,1936.2885495671837,1936.2885495671837,0.0,0.0
